guuid	floR_2	aph(6)-Id_1	aph(3'')-Ib_5	sul2_2	aph(3')-Ia_1	ant(3'')-Ia_1	blaTEM-1B_1	sul1_5	blaOXA-1_1	tet(A)_6	mdf(A)_1	dfrA5_1	tet(B)_2	sul2_3	erm(B)_18	mph(A)_2	blaCTX-M-15_1	blaTEM-1D_1	dfrA14_5	dfrA7_5	dfrA1_8	catA1_1	blaTEM-1A_1	tet(34)_1	aadA5_1	dfrA17_1	catB3_1	aac(6')-Ib-cr_1	blaSHV-102_1	aac(3)-IId_1	dfrA1_10	sul1_15	blaTEM-102_1	blaTEM-1C_1	qnrB1_1	aac(3)-IIa_1	blaSHV-12_1	aph(3'')-Ib_1	dfrA12_8	aadA2_1	dfrA8_1	blaTEM-104_1	aph(3'')-Ib_2	qnrS1_1	tet(D)_1	blaCTX-M-27_1	blaCARB-2_1	tet(A)_3	blaTEM-52B_1	sul2_14	sul2_1	blaTEM-111_1	"NA"	sul1_10	blaCTX-M-1_1	blaTEM-34_1	blaCMY-138_1	blaCTX-M-14_1	blaTEM-30_1	blaCMY-2_1	tet(B)_1	blaCTX-M-189_1	aac(6')-Ib_1	aac(3)-VIa_2	cmlA1_1	ant(2'')-Ia_1	lnu(G)_1	aadA1_3	blaTEM-122_1	blaCTX-M-14b_1	aph(3')-Ia_3	blaCMY-50_1	cat(pC221)_1	cfr(C)_1	aph(3')-III_1	ant(6)-Ia_1	tet(C)_2	catB3_2	ARR-3_4	blaTEM-40_1	qepA1_1	mph(B)_1	blaTEM-35_1	aadA1_4	aadA1_2	fosA7_1	blaTEM-106_1	sul3_2	mef(B)_1	dfrA15_2	sul2_6	catA2_1	cml_1	aac(3)-IVa_1	aph(4)-Ia_1	qepA4_1	aac(3)-IIa_4	sul2_21	dfrB1_1	qnrB19_1	blaTEM-63_1	blaOXA-48_1	lnu(F)_1	qnrB4_1	blaDHA-1_1	mcr-1.1_1	dfrA7_1	blaTEM-101_1	blaTEM-141_1	aac(3)-Ib_1	tet(M)_8	aadA1_5	blaCTX-M-101_1	blaTEM-33_1	ant(3'')-Ii-aac(6')-IId_1	blaTEM-105_1	armA_1	dfrA19_1	blaCTX-M-3_1	tet(C)_3	aph(3')-Ia_9	fosA3_1	mph(A)_1	catB8_1	blaCTX-M-9_1	blaSHV-49_1	sul2_13	blaTEM-52C_2	aadA2_2	dfrA16_2	aadA4_1	dfrA21_1	dfrA25_1	aadA12_1	aadA8b_2	aadA8b_1	blaCMY-106_1	blaCTX-M-55_1	aph(3')-Ia_7	dfrA29_1	blaOXA-2_1	blaTEM-148_1	aadA13_1	aac(3)-Ia_1	ere(A)_2	tet(A)_4	blaOXA-244_1	tet(M)_4	aph(6)-Ic_1	aph(3')-IIa_2	mcr-5.1_1	blaTEM-150_1	aadA22_1	aph(3')-Ib_2	blaTEM-215_1	erm(B)_12	blaCTX-M-32_2
bc946eb7-b34b-4c13-a42a-7360fb1b8fe3	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c721e382-57e9-487c-b4f2-609ee2a6976b	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
df813e9b-769f-4a31-8ff7-df9ba8a38401	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72bbcdd0-8224-4c2f-a788-92d48bf569f5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bf6fe35d-3beb-466d-84d5-40db68abac3e	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e64be72c-9b40-4f05-9a2c-6a60878ed32f	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20d735a0-552d-49b6-8498-c9f49e9cc15f	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27a08a4f-540e-4c00-9c17-f47c6b932d95	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e05ea781-9257-4f57-a362-13693a57757c	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b73243ea-ce49-4864-aeb7-0ba9176c74f1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
