strain	source_short
00451d7e-2c75-4054-99f1-9ad5586f50fd	Unknown
0092f197-976f-4b82-a6bd-858df302189f	Unknown
00dfbf84-7a06-40d0-b16f-75cab8bb1a21	Unknown
01471ea7-7e7a-43e2-84d0-aa04e1df6131	Unclear
019b7ed1-09c2-4e13-adbb-f9c5fea5a73c	GI
01bc08a7-7a69-420c-9e9d-770dc619000b	Unknown
025dc3d7-11e3-4761-85c4-a04f107009e8	Unknown
025ddedc-53a9-42fa-91ab-3fc463f7159b	Urinary Tract
0289773b-c7e6-4c72-be2b-1da8dc1b0ab8	Urinary Tract
02b21af9-d333-44d3-8ed0-f6bcd3dd8e43	Unknown
02d1ef66-a2e2-44c2-a22f-9237bf3bb99b	Unclear
0325490e-f228-41ef-8487-27ab0d6a6f17	Unknown
0377ae71-d179-41bc-9be6-429b35bb2e0a	Unknown
042c0513-c16d-41fa-bb15-8ec48f6d776a	Unknown
045c06a3-45c7-4d4a-8345-b6b47a3c3458	Unknown
0489490b-c870-4105-a676-0f4134ecc969	Unknown
04f29ddf-1297-4922-8902-bfe1d2237807	Unknown
053f82cf-cd68-46d3-b52c-9ddcb9b105c8	Unknown
05baef21-6e93-4789-a138-d3782474750b	Unknown
062501f3-bb72-4641-a939-881bf1a3bf4e	Unknown
070087c8-9b19-47cc-8562-d5084aa96111	Unknown
077bbacf-81ca-4bed-8496-840d0cf14517	Unknown
07d52e2c-f06e-4900-bdd6-f233ece9b9ba	Unknown
08741125-5a2c-49fe-85ac-05f477a336a7	Unknown
088aa985-85d6-4ca5-bf44-7a73007981b1	Unknown
08c248cb-eec5-4381-b952-a29ca97f5d3c	Unknown
090d98cb-9a78-4121-8620-0dbbf63afdd0	Unknown
0962a48e-182c-474c-9852-4556ef36038d	Unknown
097953a1-c5de-4fd6-978d-ff6c4b5e1f42	Unknown
09a334eb-46eb-4fd3-958f-dc9459ca5574	Unknown
09a4336e-3e43-4f48-a9a0-c032cf34e5c9	Urinary Tract
0b13e770-a6ba-45dc-8885-234996d86fed	Unknown
0b2baf2e-d9f5-44e8-be10-df53289fd198	Unknown
0bb6ff10-75d8-4fac-ae56-b4a1d3b9b0f5	Unknown
0be87cdc-aa54-43e1-8ddd-7277b47b0290	Unknown
0c65c9c8-fce1-48a7-a93a-056f61b43eb8	Unknown
0c96fb49-fbf0-4f51-9fdd-d30d75b5b89e	Unknown
0ca6a0a5-a4ad-435d-a9f7-6c4b611feaf5	Unknown
0cc2a2f1-7f04-455a-bf8c-b1284e944c2b	Unknown
0ceffeaf-d77b-4af4-9146-d39935d9965a	Unknown
0d022c43-a4ca-4369-96d5-ab3ae8942e0c	Unknown
0d0c94a4-6079-41be-b2c6-4efcd34ca07a	Unknown
0d457943-6624-4a97-b3c9-ed981005a84d	Unknown
0d4d3a02-8b90-4760-bc7a-1a29fb98b039	Unknown
0d6d0f6a-9eb2-468d-a77c-5ba704dbaa4d	Unknown
0d73a9e3-b976-476d-b527-dea3168f961f	Unknown
0d7b45f8-34dc-4f30-8d59-561a7447d17e	Unknown
0d896726-a2e6-4ccd-bb5f-84dd5330b2e0	Unknown
0db25674-24c8-48bc-a703-4a98d31de479	Unknown
0e45b4b1-4dfd-4497-bc8f-46c051458f4e	Unknown
0ea2f5a1-cc09-4c8d-8e27-ebd1829e77bc	Unknown
1066082a-9db5-498d-bdca-7ce6be4b5f84	Unknown
10880c50-7bd5-4fb2-adc4-34e68362a47b	Unknown
10d86464-dc3c-4d24-bb45-7e79b50d6ac1	Unknown
10fdb62a-d39d-4135-95a6-d6599afa2283	Unclear
1118123e-4cd5-40e8-ba7f-40e34e1fa680	Unknown
1142371a-2563-46c0-b6d2-f873e9ec8690	Unknown
1162063b-0c04-4a74-9fd2-12eb7e85c4b7	Unknown
1376ee67-1a65-476a-9ade-1e54df969b0c	Unknown
137bac10-ef31-4754-ba58-0b1d6b48b8fb	Unknown
138b2d82-e372-42eb-9b67-e7fe013fb41d	Unknown
13b1854e-cd20-4325-bf06-072c2de1ea40	Unknown
